CODE,ADRS,LONG,TAG,TYPE,RT,UUID,START,PARAM 1,PARAM 2,PARAM 3,PARAM 4,PARAM 5,PARAM 6,PARAM 7,PARAM 8,PARAM 9,PARAM 10
1,E08100,1,VELOCITY,0,1,0910676e-6972-6565-6e69-676e4543544f,0,0,0,0,0,0,0,0,0,0,0
1,E08101,1,THROTTLE,0,1,0910676e-6972-6565-6e69-676e4543544f,1,0,0,0,0,0,0,0,0,0,0
1,E08102,2,RPM,0,1,0910676e-6972-6565-6e69-676e4543544f,2,0,0,0,0,0,0,0,0,0,0
1,E08103,3,ODOMETER,0,1,0910676e-6972-6565-6e69-676e4543544f,4,0,0,0,0,0,0,0,0,0,0
1,E08104,1,FUEL,0,1,0910676e-6972-6565-6e69-676e4543544f,7,0,0,0,0,0,0,0,0,0,0
1,E08105,1,BATTERY,0,1,0910676e-6972-6565-6e69-676e4543544f,9,0,0,0,0,0,0,0,0,0,0
1,E08106,2,COOLANT,0,1,0910676e-6972-6565-6e69-676e4543544f,11,0,0,0,0,0,0,0,0,0,0
1,E08107,1,BLE_VERSION,0,1,0910676e-6972-6565-6e69-676e4543544f,15,0,0,0,0,0,0,0,0,0,0
1,E08108,1,HANDBRAKE,0,1,0910676e-6972-6565-6e69-676e4543544f,16,0,0,0,0,0,0,0,0,0,0
1,E08109,1,AIRBAG,0,1,0910676e-6972-6565-6e69-676e4543544f,16,0,0,0,0,0,0,0,0,0,0
1,E0810A,1,DOORS,0,1,0910676e-6972-6565-6e69-676e4543544f,16,0,0,0,0,0,0,0,0,0,0
1,E0810B,1,L_BEAM,0,1,0910676e-6972-6565-6e69-676e4543544f,16,0,0,0,0,0,0,0,0,0,0
1,E0810C,1,H_BEAM,0,1,0910676e-6972-6565-6e69-676e4543544f,16,0,0,0,0,0,0,0,0,0,0
1,E0810D,1,WARNINGS,0,1,0910676e-6972-6565-6e69-676e4543544f,16,0,0,0,0,0,0,0,0,0,0
1,E0810E,1,ENGINE_FAULT,0,1,0910676e-6972-6565-6e69-676e4543544f,16,0,0,0,0,0,0,0,0,0,0
1,E0810F,1,KL_15,0,1,0910676e-6972-6565-6e69-676e4543544f,16,0,0,0,0,0,0,0,0,0,0
1,E08110,1,BRAKE,0,1,0910676e-6972-6565-6e69-676e4543544f,17,0,0,0,0,0,0,0,0,0,0
1,E08111,1,AIR_CONDITIONING,0,1,0910676e-6972-6565-6e69-676e4543544f,17,0,0,0,0,0,0,0,0,0,0
1,E08112,1,P_AIRBAG,0,1,0910676e-6972-6565-6e69-676e4543544f,17,0,0,0,0,0,0,0,0,0,0
1,E08113,1,P_LIGHTS,0,1,0910676e-6972-6565-6e69-676e4543544f,17,0,0,0,0,0,0,0,0,0,0
1,E08114,1,ALARM,0,1,0910676e-6972-6565-6e69-676e4543544f,17,0,0,0,0,0,0,0,0,0,0
1,E08115,1,BRAKE_FLUID,0,1,0910676e-6972-6565-6e69-676e4543544f,17,0,0,0,0,0,0,0,0,0,0
1,E08116,1,FUEL_ALARM,0,1,0910676e-6972-6565-6e69-676e4543544f,17,0,0,0,0,0,0,0,0,0,0
1,E08117,1,SERVICE,0,1,0910676e-6972-6565-6e69-676e4543544f,18,0,0,0,0,0,0,0,0,0,0
1,E08118,1,MIL,0,1,0910676e-6972-6565-6e69-676e4543544f,18,0,0,0,0,0,0,0,0,0,0
1,E08119,1,FILE_STATUS,0,1,0910676e-6972-6565-6e69-676e4543544f,18,0,0,0,0,0,0,0,0,0,0
1,E0811A,1,DRIVING_TECHNIQUE,0,1,0910676e-6972-6565-6e69-676e4543544f,19,0,0,0,0,0,0,0,0,0,0
1,E08120,1,YEAR,0,1,0A10676e-6972-6565-6e69-676e4543544f,0,0,0,0,0,0,0,0,0,0,0
1,E08121,1,MONTH,0,1,0A10676e-6972-6565-6e69-676e4543544f,1,0,0,0,0,0,0,0,0,0,0
1,E08122,1,DAY,0,1,0A10676e-6972-6565-6e69-676e4543544f,2,0,0,0,0,0,0,0,0,0,0
1,E08123,1,HOUR,0,1,0A10676e-6972-6565-6e69-676e4543544f,3,0,0,0,0,0,0,0,0,0,0
1,E08124,1,MINUTE,0,1,0A10676e-6972-6565-6e69-676e4543544f,4,0,0,0,0,0,0,0,0,0,0
1,E08125,1,SECOND,0,1,0A10676e-6972-6565-6e69-676e4543544f,5,0,0,0,0,0,0,0,0,0,0
1,E08126,2,FILE_N,0,1,0A10676e-6972-6565-6e69-676e4543544f,6,0,0,0,0,0,0,0,0,0,0
1,E08127,2,INIT_FUEL,0,1,0A10676e-6972-6565-6e69-676e4543544f,8,0,0,0,0,0,0,0,0,0,0
1,E08128,4,LATITUDE,0,1,0A10676e-6972-6565-6e69-676e4543544f,10,0,0,0,0,0,0,0,0,0,0
1,E08129,4,LONGITUDE,0,1,0A10676e-6972-6565-6e69-676e4543544f,14,0,0,0,0,0,0,0,0,0,0
1,E0812A,2,FIRMWARE_VERSION,0,1,0A10676e-6972-6565-6e69-676e4543544f,18,0,0,0,0,0,0,0,0,0,0
1,E08140,17,VIN_RTT,0,1,0B10676e-6972-6565-6e69-676e4543544f,0,0,0,0,0,0,0,0,0,0,0
1,2800,60,RTDATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,283C,64,DATATEMP_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,287C,22,CARDATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2892,509,S12CERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2A90,32,S12CHALLENGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2AB0,4,S12SIGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2AB4,2,REGPROC_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2AB6,1,TO136_STATUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2AB7,1,TO136_RESULT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2AB8,1,TRACKLOG_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2AB9,1,TRACKLOG_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
